tiempo,salida,entrada
28.6,0.0491,10
28.7,0.0934,10
28.8,0.0496,10
28.9,0.1849,10
29,-0.008,10
29.1,-0.0694,10
29.2,-0.0767,10
29.3,-0.1334,10
29.4,-0.0869,10
29.5,0.0356,10
29.6,0.0726,10
29.7,0.0726,10
29.8,0.0156,10
29.9,0.0186,10
30,0.0089,10
30.1,-0.0698,10
30.2,0.0569,10
30.3,0.1433,10
30.4,-0.0836,10
30.5,0.0411,10
30.6,-0.0728,10
30.7,0.0025,10
30.8,0.1258,10
30.9,-0.0855,10
31,0.0085,10
31.1,-0.2569,10
31.2,0.0231,10
31.3,0.2448,10
31.4,0.0849,10
31.5,-0.1235,10
31.6,-0.073,10
31.7,0.0089,10
31.8,-0.1249,10
31.9,0.0908,10
32,-0.1483,10
32.1,-0.1452,10
32.2,-0.0217,10
32.3,-0.0223,10
32.4,-0.1073,10
32.5,-0.0967,10
32.6,0.0157,10
32.7,0.0923,10
32.8,-0.1475,10
32.9,-0.0285,10
33,0.0522,10
33.1,0.0697,10
33.2,-0.0106,10
33.3,0.0536,10
33.4,0.0277,10
33.5,-0.0451,10
33.6,0.0785,10
33.7,0.0047,10
33.8,0.0489,10
33.9,0.0578,10
34,0.1471,10
34.1,0.0659,10
34.2,-0.0173,10
34.3,-0.1394,10
34.4,-0.1912,10
34.5,0.0196,10
34.6,-0.0191,10
34.7,-0.0197,10
34.8,0.1294,10
34.9,-0.0533,10
35,-0.0873,10
35.1,-0.0322,10
35.2,0.0123,10
35.3,-0.0271,10
35.4,-0.0986,10
35.5,0.0038,10
35.6,0.2301,10
35.7,0.1016,10
35.8,-0.1427,10
35.9,0.0874,10
36,-0.01,10
36.1,-0.0052,10
36.2,-0.0346,10
36.3,0.165,10
36.4,-0.1694,10
36.5,0.0467,10
36.6,0.0329,10
36.7,-0.0095,10
36.8,-0.0576,10
36.9,0.227,10
37,0.1969,10
37.1,-0.0045,10
37.2,0.1568,10
37.3,-0.0982,10
37.4,-0.0093,10
37.5,-0.1128,10
37.6,0.0413,10
37.7,0.1026,10
37.8,0.0767,10
37.9,0.1591,10
38,0.0291,10
38.1,0.0218,10
38.2,0.0587,10
38.3,-0.1229,10
38.4,0.0153,10
38.5,0.0798,10
38.6,0.0708,10
38.7,-0.0038,10
38.8,0.0041,10
38.9,-0.0636,10
39,-0.1306,10
39.1,-0.0963,10
39.2,-0.0283,10
39.3,0.0017,10
39.4,0.2407,10
39.5,0.02,10
39.6,0.0143,10
39.7,-0.1305,10
39.8,-0.0824,10
39.9,0.1111,10
40,0.0961,10
40.1,0.0444,10
40.2,0.1241,10
40.3,-0.055,10
40.4,-0.036,10
40.5,0.113,10
40.6,-0.0364,10
40.7,-0.0091,10
40.8,-0.1092,10
40.9,-0.1105,10
41,0.0835,10
41.1,0.0616,10
41.2,0.0421,10
41.3,-0.1484,10
41.4,-0.1211,10
41.5,-0.1035,10
41.6,-0.0549,10
41.7,0.0041,10
41.8,0.0312,10
41.9,0.0212,10
42,0.0281,10
42.1,0.0143,10
42.2,-0.1124,10
42.3,0.0463,10
42.4,0.1001,10
42.5,-0.2023,10
42.6,-0.0479,10
42.7,-0.0709,10
42.8,0.0733,10
42.9,-0.0879,10
43,0.1774,10
43.1,0.0531,10
43.2,0.1921,10
43.3,0.0776,10
43.4,0.0577,10
43.5,0.0692,10
43.6,-0.0063,10
43.7,0.0167,10
43.8,0.1588,10
43.9,0.0607,10
44,0.1231,10
44.1,-0.0495,10
44.2,0.0737,10
44.3,0.0303,10
44.4,-0.0162,10
44.5,-0.0146,10
44.6,-0.0688,10
44.7,-0.0792,10
44.8,-0.2788,10
44.9,-0.0438,10
45,-0.0525,10
45.1,0.206,10
45.2,0.081,10
45.3,-0.0901,10
45.4,-0.0737,10
45.5,0.1329,10
45.6,-0.1884,10
45.7,0.0149,10
45.8,0.1073,10
45.9,0.1021,10
46,-0.127,10
46.1,0.0549,10
46.2,0.0888,10
46.3,-0.0669,10
46.4,0.0401,10
46.5,0.042,10
46.6,-0.0036,10
46.7,-0.1318,10
46.8,0.0624,10
46.9,0.0074,10
47,0.1721,10
47.1,0.0298,10
47.2,-0.1892,10
47.3,0.0111,10
47.4,-0.0137,10
47.5,-0.0705,10
47.6,0.0841,10
47.7,-0.0419,10
47.8,-0.0295,10
47.9,-0.0324,10
48,-0.0897,10
48.1,-0.1247,10
48.2,0.1538,10
48.3,0.0281,10
48.4,-0.1254,10
48.5,-0.0698,10
48.6,0.0686,10
48.7,0.0611,10
48.8,0.0584,10
48.9,-0.0553,10
49,-0.0761,10
49.1,-0.1497,10
49.2,0.046,10
49.3,-0.1488,10
49.4,-0.19,10
49.5,-0.0137,10
49.6,0.0865,10
49.7,0.0489,10
49.8,-0.0083,10
49.9,-0.2552,10
50,-0.0523,10
50.1,-0.1123,10
50.2,-0.1797,10
50.3,0.1815,10
50.4,-0.0501,10
50.5,0.1524,10
50.6,-0.018,10
50.7,0.0799,10
50.8,-0.0412,10
50.9,-0.082,10
51,0.1221,10
51.1,0.0823,10
51.2,0.0684,10
51.3,0.0467,10
51.4,0.0165,10
51.5,0.0936,10
51.6,0.0659,10
51.7,-0.051,10
51.8,0.0328,10
51.9,-0.0174,10
52,0.1247,10
52.1,-0.0985,10
52.2,0.0703,10
52.3,0.0735,10
52.4,0.0183,10
52.5,-0.0337,10
52.6,-0.3458,10
52.7,0.1333,10
52.8,-0.0848,10
52.9,-0.0432,10
53,0.0849,10
53.1,-0.105,10
53.2,-0.0558,10
53.3,-0.0505,10
53.4,-0.0742,10
53.5,-0.0991,10
53.6,-0.1239,10
53.7,-0.0049,10
53.8,-0.1008,10
53.9,0.038,10
54,-0.1145,10
54.1,-0.0297,10
54.2,0.008,10
54.3,0.0023,10
54.4,0.1904,10
54.5,0.0551,10
54.6,0.1783,10
54.7,0.0238,10
54.8,0.0314,10
54.9,-0.0163,10
55,-0.1081,10
55.1,-0.1289,10
55.2,0.0444,10
55.3,0.0578,10
55.4,-0.0036,10
55.5,0.0243,10
55.6,-0.0125,10
55.7,-0.0713,10
55.8,0.0738,10
55.9,-0.0434,10
56,0.0102,10
56.1,-0.0213,10
56.2,-0.0906,10
56.3,0.1748,10
56.4,0.0489,10
56.5,0.1294,10
56.6,-0.0093,10
56.7,0.0307,10
56.8,0.0524,10
56.9,0.071,10
57,-0.1486,10
57.1,0.2076,10
57.2,-0.09,10
57.3,-0.088,10
57.4,-0.0323,10
57.5,-0.1014,10
57.6,-0.1146,10
57.7,-0.0345,10
57.8,-0.0254,10
57.9,0.1608,10
58,0.1061,10
58.1,-0.0215,10
58.2,0.1993,10
58.3,0.022,10
58.4,0.0396,10
58.5,-0.0825,10
58.6,0.202,10
58.7,0.0571,10
58.8,0.0645,10
58.9,0.2439,10
59,0.0684,10
59.1,0.1393,10
59.2,0.0339,10
59.3,-0.0379,10
59.4,0.0012,10
59.5,-0.0931,10
59.6,0.0782,10
59.7,-0.0254,10
59.8,-0.0031,10
59.9,-0.0371,10
60,0.0066,10
60.1,0.0713,10
60.2,-0.1601,10
60.3,-0.0381,10
60.4,-0.0122,10
60.5,-0.0986,10
60.6,0.0974,10
60.7,0.039,10
60.8,0.0259,10
60.9,-0.1973,10
61,0.1564,10
61.1,-0.1015,10
61.2,0.1218,10
61.3,-0.0171,10
61.4,-0.0624,10
61.5,0.0501,10
61.6,0.0235,10
61.7,0.1203,10
61.8,0.0556,10
61.9,-0.0734,10
62,0.0761,10
62.1,0.0882,10
62.2,0.0906,10
62.3,-0.0977,10
62.4,-0.1789,10
62.5,0.0518,10
62.6,0.0165,10
62.7,0.1797,10
62.8,0.0726,10
62.9,-0.0961,10
63,-0.1917,10
63.1,0.1827,10
63.2,0.0141,10
63.3,0.024,10
63.4,-0.1997,10
63.5,-0.1289,10
63.6,0.0194,10
63.7,0.0404,10
63.8,0.0799,10
63.9,-0.0491,10
64,-0.0468,10
64.1,0.1498,10
64.2,-0.1198,10
64.3,-0.0052,10
64.4,-0.0451,10
64.5,-0.1885,10
64.6,0.2054,10
64.7,0.0264,10
64.8,0.1045,10
64.9,-0.113,10
65,-0.0437,10
65.1,0.0492,10
65.2,0.1209,10
65.3,0.0104,10
65.4,-0.0323,10
65.5,0.0025,10
65.6,-0.0234,10
65.7,0.1714,10
65.8,0.0627,10
65.9,-0.0755,10
66,0.0795,10
66.1,0.2263,10
66.2,0.079,10
66.3,-0.0125,10
66.4,-0.0089,10
66.5,0.1194,10
66.6,-0.0159,10
66.7,-0.0473,10
66.8,-0.1006,10
66.9,0.0275,10
67,0.0518,10
67.1,0.0403,10
67.2,0,10
67.3,0.048,10
67.4,-0.0746,10
67.5,0.0791,10
67.6,0.0861,10
67.7,-0.0301,10
67.8,-0.0152,10
67.9,0.0276,10
68,0.0399,10
68.1,-0.0204,10
68.2,-0.0461,10
68.3,0.1763,10
68.4,-0.1743,10
68.5,0.1373,10
68.6,-0.2123,10
68.7,-0.0874,10
68.8,0.0373,10
68.9,0.0148,10
69,-0.0163,10
69.1,0.0099,10
69.2,-0.0194,10
69.3,0.0614,10
69.4,-0.4015,10
69.5,0.2165,10
69.6,0.0788,10
69.7,-0.1969,10
69.8,-0.1318,10
69.9,-0.1407,10
70,0.0391,10
70.1,0.268,10
70.2,0.0719,10
70.3,0.0627,10
70.4,-0.0622,10
70.5,0.047,10
70.6,0.0478,10
70.7,0.0312,10
70.8,-0.1049,10
70.9,0.0308,10
71,0.0416,10
71.1,-0.0192,10
71.2,0.022,10
71.3,0.138,10
71.4,-0.0157,10
71.5,-0.0917,10
71.6,-0.0885,10
71.7,-0.1861,10
71.8,0.1044,10
71.9,-0.1132,10
72,0.0284,10
72.1,-0.0308,10
72.2,-0.0656,10
72.3,-0.0877,10
72.4,0.0578,10
72.5,0.0755,10
72.6,-0.0638,10
72.7,-0.0244,10
72.8,0.1873,10
72.9,-0.0653,10
73,-0.0466,10
73.1,0.2376,10
73.2,0.0649,10
73.3,-0.0845,10
73.4,0.2255,10
73.5,-0.026,10
73.6,0.0593,10
73.7,0.0196,10
73.8,0.0639,10
73.9,0.1115,10
74,0.1106,10
74.1,-0.1737,10
74.2,0.1816,10
74.3,-0.028,10
74.4,-0.0499,10
74.5,0.1515,10
74.6,0.1203,10
74.7,0.0471,10
74.8,-0.1481,10
74.9,0.0221,10
75,-0.0384,10
75.1,0.0845,10
75.2,-0.0552,10
75.3,-0.0837,10
75.4,0.0364,10
75.5,0.0688,10
75.6,-0.0771,10
75.7,0.1662,10
75.8,-0.2015,10
75.9,-0.1595,10
76,-0.0817,10
76.1,0.0046,10
76.2,0.095,10
76.3,0.1468,10
76.4,0.0481,10
76.5,0.0201,10
76.6,0.0316,10
76.7,0.0119,10
76.8,0.0618,10
76.9,0.0211,10
77,-0.2559,10
77.1,0.027,10
77.2,0.0084,10
77.3,-0.1002,10
77.4,-0.052,10
77.5,0.0162,10
77.6,0.0998,10
77.7,-0.1398,10
77.8,0.0349,10
77.9,0.125,10
78,-0.1832,10
78.1,0.0872,10
78.2,-0.0678,10
78.3,-0.1791,10
78.4,-0.1727,10
78.5,0.0915,10
78.6,0.0263,10
78.7,0.041,10
78.8,-0.0517,10
78.9,-0.0806,10
79,0.0302,10
79.1,0.0596,10
79.2,-0.0204,10
79.3,-0.1672,10
79.4,0.1286,10
79.5,-0.0603,10
79.6,-0.0953,10
79.7,-0.0006,10
79.8,-0.0263,10
79.9,-0.0746,10
